# DelosDB MVCC subsystem recovery-record gate.
# Format: id | path | contract | marker | reason
# The gate is classification/proof only: it documents explicit MVCC recovery metadata boundaries without changing Derby heap, raw-log, SQL, DRDA, or optimizer behavior.
I016 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccStateStore.java | FREE_SPACE_MAP_REDO_METADATA | recoveryRecordStore.appendFreeSpaceMapRedo | The commit boundary records free-space map page/update counts so allocation metadata becomes visible to recovery diagnostics.
I017 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccStateStore.java | TRANSACTION_OUTCOME_REDO_METADATA | recoveryRecordStore.appendTransactionOutcomeRedo | The commit boundary records transaction outcome metadata after the outcome log has durable commit-sequence information.
I018 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccStateStore.java | CHECKPOINT_METADATA | recoveryRecordStore.appendCheckpoint | The checkpoint path appends checkpoint metadata alongside the durable checkpoint digest and row-count summary.
I019 | delosdb-storage-mvcc/src/main/java/io/github/ggeorg/delosdb/storage/mvcc/store/PageVolumeMvccStateStore.java | RECOVERY_DIAGNOSTICS_API | rowPageRedoRecordCount | Page-volume diagnostics expose row-page, index-page, overflow-page, free-space, transaction-outcome, and checkpoint record counts.
I020 | delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageRecoveryDiagnostics.java | PROVIDER_NEUTRAL_DIAGNOSTICS | public record DelosStorageRecoveryDiagnostics | Provider-neutral recovery diagnostics expose MVCC recovery metadata without leaking page-volume implementation details to callers.
I021 | delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageRecoveryDiagnostics.java | CHECKPOINT_BOUNDARY | completeCheckpointBoundary | The diagnostic API can prove the checkpoint boundary is complete only when every required subsystem record category is present.
I022 | delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageDiagnostics.java | DIAGNOSTICS_API | recoveryDiagnosticsForTesting | Store-wide diagnostics build a provider-neutral recovery diagnostics snapshot from table/container scoped counters and summaries.
I023 | delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageTableDiagnostics.java | TABLE_DIAGNOSTICS_API | subsystemRecoveryRecordSummariesForTesting | Table-scoped diagnostics expose subsystem recovery summaries without introducing repair or replay commands.
I024 | delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosMvccStorageStatistics.java | STATISTICS_API | public boolean hasRecoveryStatistics() | MVCC statistics report whether recovery records exist so storage inspection can surface recovery metadata health.
I025 | delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosMvccStorageStatistics.java | CHECKPOINT_BOUNDARY | public boolean recoveryBoundaryComplete() | MVCC statistics validate that row, index, overflow, free-space, transaction, and checkpoint recovery categories are all present.
I026 | delosdb-storage-api/src/main/java/org/apache/derby/iapi/store/types/DelosStorageStatistics.java | STATISTICS_API | public boolean hasRecoveryStatistics() | Provider-neutral storage statistics include a recovery-record presence check that remains read-only and diagnostic.
I027 | delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlSubsystemRecoveryRecordsTest.java | SQL_RECOVERY_RECORD_TEST | testSubsystemRecoveryRecordsExistAndSurviveReopen | SQL integration proves subsystem recovery records are created, visible through diagnostics, and preserved across shutdown/reopen.
I028 | delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlSubsystemRecoveryRecordsTest.java | SQL_RECOVERY_RECORD_TEST | row page redo metadata should exist | The SQL proof checks the row-page recovery category through the provider-neutral diagnostics API.
I029 | delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlSubsystemRecoveryRecordsTest.java | SQL_RECOVERY_RECORD_TEST | index page redo metadata should exist | The SQL proof checks the ordered-index recovery category through the provider-neutral diagnostics API.
I030 | delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlSubsystemRecoveryRecordsTest.java | SQL_RECOVERY_RECORD_TEST | overflow page redo metadata should exist | The SQL proof checks the overflow-page recovery category using a large value that exercises overflow storage.
I031 | delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlSubsystemRecoveryRecordsTest.java | SQL_RECOVERY_RECORD_TEST | free-space map redo metadata should exist | The SQL proof checks that allocation/free-space metadata participates in the recovery boundary.
I032 | delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlSubsystemRecoveryRecordsTest.java | SQL_RECOVERY_RECORD_TEST | transaction outcome redo metadata should exist | The SQL proof checks that transaction outcome metadata is recorded with committed MVCC changes.
I033 | delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlSubsystemRecoveryRecordsTest.java | CHECKPOINT_METADATA | checkpoint metadata should exist | The SQL proof checks that checkpoint recovery metadata is present for the committed MVCC state.
I034 | delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlSubsystemRecoveryRecordsTest.java | REOPEN_TEST | reopen should preserve recovery metadata records | Reopen coverage proves recovery metadata survives database shutdown and does not depend on transient in-memory state.
I035 | delosdb-tests/src/test/java/org/apache/derbyTesting/functionTests/tests/delos/MvccSqlSubsystemRecoveryRecordsTest.java | REOPEN_TEST | reopen recovery metadata should still be complete | Reopen coverage proves the full subsystem recovery boundary remains complete after boot-time state loading.
I036 | delosdb-tests/build.gradle | TEST_SUITE_WIRING | MvccSqlSubsystemRecoveryRecordsTest.class | The focused MVCC SQL integration task includes the subsystem recovery-record SQL proof.
I037 | docs/STORAGE-ROADMAP.md | ROADMAP_GATE | Phase I — MVCC subsystem recovery records | The roadmap records Phase I as the active MVCC recovery-record slice after attribute-level overflow storage closed green.
I038 | docs/STORAGE-ROADMAP.md | COMPATIBILITY_BOUNDARY | must not change Derby heap page format | The roadmap explicitly protects Derby heap page format, raw log format, SQL syntax, DRDA behavior, and inherited heap compatibility boundaries.
